"id","condition","TBD1","TBD2","CJR1","PJR1","OTP1","COA1","COA2","COA3","RO1","TRM1","TRM2","TRM3","TRM4","TWC1","TWC2","TWC3","TWC4","TWC5","GA1","GA2","GA3","GA4","GA5","IP1","IP2","IP3","IP4","IP5","PRS1","PRS2","PRS3","PRS4","PRS5","OCP1","OCP2","OCP3","OCP4","OCP5","OCP6","OCP7","OCP8","OCP9","OCP10","OCP11","OCP12","OCP13","OCP14","OCP15","OCP16"
48,"AVI",4,2,3,2,3,4,5,5,5,5,5,5,5,1,1,1,1,1,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,4,4,5,5,5,2,3
48,"Traditional",5,5,5,3,5,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,NA,5,5,5,5,5,4,5,5,5,5,5,5,5,4,4
49,"AVI",2,2,2,1,4,5,4,3,3,4,4,2,2,1,1,2,5,1,4,3,3,4,3,4,3,4,3,2,4,3,3,3,3,5,3,3,3,5,5,5,5,3,5,2,2,5,5,2,2
49,"Traditional",4,4,5,4,4,5,3,5,4,4,4,4,5,3,5,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,4,4,5,5,4,5,4,4,5
50,"AVI",1,2,4,1,2,5,5,5,2,4,3,3,2,2,2,2,2,1,4,4,2,3,4,4,2,4,3,2,4,4,2,4,4,2,2,4,4,2,3,2,2,2,2,2,2,5,4,3,2
50,"Traditional",3,2,4,1,2,4,4,2,4,4,4,4,4,5,5,5,4,4,5,5,5,5,5,5,5,5,5,3,4,5,5,3,4,3,3,2,4,4,5,4,3,3,4,4,4,3,4,3,3
51,"AVI",4,4,4,2,5,4,3,4,5,5,5,3,4,2,2,2,3,3,5,5,5,5,5,5,5,5,5,3,4,5,4,5,5,5,5,4,5,3,4,3,4,4,2,5,3,3,5,4,4
51,"Traditional",4,4,5,2,4,3,3,2,5,5,3,4,5,5,5,4,3,4,5,5,5,5,5,4,5,5,5,4,5,5,4,5,5,4,5,4,4,2,5,3,3,4,4,5,5,4,5,4,4
52,"AVI",3,1,4,2,3,4,4,4,5,3,3,3,3,2,2,3,2,2,3,3,3,4,2,4,4,4,3,3,4,3,3,4,3,2,3,3,4,2,3,3,1,2,3,2,3,4,4,2,2
52,"Traditional",2,3,2,3,2,4,4,2,2,4,4,3,2,3,4,2,2,2,3,4,2,3,2,3,2,5,3,3,4,4,2,2,2,3,3,3,5,2,2,3,1,3,2,1,2,2,4,2,2
53,"AVI",4,3,3,3,2,4,4,4,5,5,5,3,2,1,1,1,1,2,2,2,2,2,2,4,2,4,3,3,4,3,3,3,4,2,4,4,3,2,3,4,3,3,4,2,2,4,4,4,3
53,"Traditional",4,4,3,3,4,3,4,2,4,4,5,5,5,4,4,3,4,4,5,5,4,5,5,5,4,5,5,5,4,4,4,5,5,3,4,4,5,4,4,5,5,3,4,5,4,4,4,3,4
54,"AVI",1,1,2,1,2,3,4,2,4,2,3,1,1,1,1,1,1,1,3,2,2,1,1,3,1,1,2,2,3,3,3,3,4,3,1,5,3,2,3,3,3,2,4,2,2,4,4,5,4
54,"Traditional",5,4,5,4,5,4,4,4,3,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,4,4,5,3,5,3,4,5,4,4,3,5,3,3,3,2,3
55,"AVI",1,1,1,1,1,1,4,1,4,2,1,2,2,1,1,1,1,1,2,2,1,1,1,3,1,1,1,1,2,2,1,1,2,1,2,4,1,1,1,1,1,1,1,1,1,2,3,3,1
55,"Traditional",4,4,5,2,2,2,4,1,4,4,5,5,5,5,5,4,5,5,4,4,4,4,4,4,4,5,4,4,3,3,4,4,3,2,3,1,1,2,3,4,2,3,3,4,3,1,1,1,4
56,"AVI",2,2,4,3,2,4,5,5,1,3,3,2,3,1,1,4,1,1,3,3,2,3,3,4,2,4,3,3,4,3,2,2,2,2,3,3,4,3,3,2,2,2,1,1,2,3,2,4,2
56,"Traditional",3,3,4,4,3,4,2,4,2,4,4,5,3,3,4,3,4,2,3,3,4,4,4,4,4,5,4,4,4,4,4,4,3,4,4,3,2,3,4,4,4,4,3,4,4,4,3,2,3
57,"AVI",1,1,1,1,1,1,1,1,4,2,4,4,1,1,2,2,2,2,1,1,1,4,1,1,1,1,1,1,3,4,2,2,3,5,5,4,5,2,5,2,5,4,1,2,2,4,5,3,1
57,"Traditional",5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,3,5
58,"AVI",5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,4,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,4,4,5,3,4,5,4,3,5
58,"Traditional",5,4,5,3,4,5,5,4,5,5,5,5,5,5,5,4,5,5,4,4,4,5,4,5,4,4,5,4,5,4,4,4,4,4,5,5,4,5,5,5,5,4,5,5,4,5,4,3,5
59,"AVI",4,2,4,3,2,5,5,2,4,5,2,2,5,2,1,2,2,1,4,4,4,4,3,4,3,5,4,5,3,3,3,5,4,5,2,2,5,4,3,4,3,4,4,2,2,5,4,5,3
59,"Traditional",3,2,4,2,4,2,2,2,1,2,4,4,2,4,4,4,4,4,3,4,4,4,3,3,3,4,4,4,3,3,3,3,4,2,4,3,5,4,3,3,3,2,3,3,2,3,2,4,4
60,"AVI",2,4,4,2,2,4,4,3,4,5,5,3,4,1,2,1,1,1,4,2,3,4,4,4,4,4,5,4,4,4,4,4,4,4,3,3,3,4,4,3,4,4,2,4,5,3,4,5,4
60,"Traditional",4,4,4,4,4,4,5,5,3,5,5,5,4,5,5,4,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,4,4,3,4,4,5,4,4,3,4,4,4,4,5,4,4
61,"AVI",3,3,4,3,4,4,4,4,3,4,4,4,4,3,3,3,4,4,4,4,4,4,3,3,3,4,3,4,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2
61,"Traditional",4,3,3,3,3,3,3,3,4,4,3,4,4,5,5,4,5,4,4,3,3,3,3,3,3,4,2,3,3,4,3,3,4,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3
62,"AVI",3,4,5,4,3,5,5,5,5,5,5,5,5,5,3,4,2,2,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,5,5,5,5,5,4,3,4,3,5,3,3,5,5,5,5
62,"Traditional",5,4,5,3,3,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5
63,"AVI",4,4,4,4,4,4,4,4,5,5,5,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,5,5,5,5,5,5,5,5,4,5,5,4,5
63,"Traditional",4,4,4,5,4,4,4,4,4,5,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,3,4,4,5,5,4,4,5,4,5,4,5,5,5,4,4,5,5,5,5,4,4
64,"AVI",1,1,2,1,1,5,5,5,5,4,3,3,4,1,1,4,1,1,3,2,3,4,2,3,2,4,3,2,4,4,4,5,5,4,1,4,3,3,3,1,4,1,2,1,2,3,4,4,1
64,"Traditional",1,4,2,1,2,4,5,3,5,4,5,4,4,2,4,4,3,2,4,3,4,5,2,3,2,5,3,3,3,4,2,5,4,4,4,2,4,4,3,2,4,5,2,4,2,3,4,2,4
65,"AVI",5,4,3,2,3,5,5,4,5,5,5,4,5,1,1,1,1,1,3,5,4,4,4,5,4,5,3,3,4,4,4,4,3,5,4,4,4,2,4,4,4,3,2,2,3,5,5,2,3
65,"Traditional",4,4,4,2,2,3,4,1,5,5,5,4,5,5,1,5,3,5,4,5,4,4,4,4,4,5,4,4,3,4,3,4,3,3,4,1,2,4,5,3,5,2,4,4,5,2,4,1,2
66,"AVI",5,4,5,4,1,5,5,5,5,5,5,5,5,1,1,5,1,1,4,4,2,4,4,4,2,5,3,1,3,4,2,2,4,3,3,5,3,4,4,5,5,5,5,2,2,5,3,5,5
66,"Traditional",4,4,5,4,4,5,2,5,5,5,5,5,5,5,5,1,4,4,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5
67,"AVI",3,3,3,2,3,3,2,3,3,3,4,4,3,3,3,3,3,3,3,3,4,3,3,5,2,4,3,4,4,3,3,3,4,3,3,3,3,4,3,3,4,4,3,2,4,2,3,3,3
67,"Traditional",5,3,3,3,3,3,4,3,5,4,4,4,3,5,5,4,3,4,3,4,4,5,4,3,3,4,3,4,3,3,3,3,3,3,3,3,3,4,4,4,5,3,5,3,3,3,3,3,3
68,"AVI",4,4,3,3,4,5,5,4,4,5,5,4,4,4,4,4,4,5,4,4,4,5,4,4,3,4,4,4,4,3,4,4,4,3,5,3,3,4,3,4,4,4,5,4,4,4,2,2,4
68,"Traditional",5,4,4,4,4,4,4,3,3,5,5,4,4,4,4,4,4,4,4,3,4,5,4,4,4,4,4,4,4,3,4,4,4,4,4,3,3,4,3,4,4,4,4,4,4,4,2,2,4
69,"AVI",4,4,5,4,4,5,5,5,5,5,5,4,4,3,3,5,2,2,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
69,"Traditional",4,4,4,4,2,5,5,3,2,5,5,4,3,4,5,4,4,4,3,4,3,4,3,3,3,4,3,3,4,3,4,3,4,4,4,4,4,3,3,4,4,3,3,4,3,4,3,3,4
70,"AVI",2,2,2,2,2,5,5,4,4,4,4,3,2,1,1,2,1,1,2,2,2,2,2,3,2,2,2,2,3,2,3,2,2,2,2,4,3,3,4,2,4,2,2,2,4,5,2,3,2
70,"Traditional",4,4,4,2,2,4,4,4,5,4,4,5,5,4,5,5,4,5,4,3,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,3,2,3,2,4
71,"AVI",2,2,4,2,4,4,4,1,5,4,4,3,4,1,1,2,2,2,3,4,4,4,3,3,2,4,3,4,3,3,3,3,4,3,4,4,3,3,3,2,4,2,5,3,2,5,5,4,3
71,"Traditional",3,2,4,2,3,2,1,1,4,4,4,3,2,2,4,1,2,2,3,4,3,4,2,4,3,4,1,2,3,3,1,1,4,3,4,2,4,2,2,2,4,3,2,3,1,2,3,3,2
72,"AVI",3,4,3,4,2,3,5,4,5,5,5,3,4,2,2,2,2,1,5,5,5,5,5,5,3,5,5,4,4,5,4,5,4,3,4,5,5,3,4,3,3,3,3,2,3,5,5,4,3
72,"Traditional",4,3,4,4,4,3,3,4,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,3,5,5,4,4,4,4,5,5,3,4,3,3,5,3,4,3,4,4,4,4,3,3,3,4
73,"AVI",5,4,5,3,2,3,5,4,2,5,5,5,5,5,2,5,2,2,4,3,4,5,4,4,3,5,3,3,4,3,4,3,4,3,4,5,3,4,3,3,3,3,3,5,4,2,4,4,4
73,"Traditional",4,5,5,3,2,5,5,5,4,4,5,4,5,5,5,5,2,3,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,3,4,2,5,4,4,4,4,4,4,4,5,4,3,3,5
74,"AVI",3,4,5,2,3,2,5,4,5,4,4,2,4,1,2,4,1,1,2,4,2,4,4,4,2,4,2,3,3,3,4,3,4,3,4,5,2,2,4,2,4,2,2,3,2,4,4,5,4
74,"Traditional",4,4,4,3,4,4,4,3,5,5,5,5,5,5,5,5,4,4,4,5,5,5,4,5,5,5,5,4,4,4,4,3,4,4,4,2,3,3,4,5,3,4,5,4,4,4,4,4,4
75,"AVI",1,1,4,2,1,2,2,4,5,5,5,3,4,1,1,1,1,1,3,2,3,4,2,4,2,3,3,4,3,4,4,4,4,3,5,5,5,3,2,5,3,4,3,4,5,5,5,4,5
75,"Traditional",4,1,5,4,2,3,2,4,1,5,4,3,4,2,2,3,2,4,4,5,4,4,4,5,2,4,5,4,4,4,4,4,3,3,4,4,4,5,4,4,3,4,3,4,4,5,5,3,3
76,"AVI",5,5,2,4,3,3,5,5,5,5,5,5,5,5,5,5,5,5,2,3,3,3,2,4,3,5,3,3,5,5,2,5,3,5,3,3,5,3,4,3,5,3,2,2,3,5,5,3,3
76,"Traditional",2,5,4,3,4,1,1,1,4,4,5,5,5,5,5,4,5,5,3,3,3,3,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,5,4,4,3,4,3,4
77,"AVI",5,4,5,4,2,4,4,4,5,5,5,5,5,2,3,4,2,2,5,5,5,4,5,5,5,5,5,4,5,5,4,5,5,4,5,5,4,4,4,4,4,5,3,5,5,4,2,5,4
77,"Traditional",2,5,4,4,4,4,2,2,3,4,5,4,4,4,5,5,4,5,5,5,5,4,5,5,5,5,5,4,5,4,5,5,5,5,4,3,5,2,4,5,3,3,3,5,4,3,4,3,4
78,"AVI",1,1,4,2,1,5,5,3,5,5,5,5,5,1,1,1,1,1,2,2,2,4,2,3,2,4,2,3,2,5,4,4,4,3,2,4,3,2,3,2,2,2,2,1,2,5,5,3,2
78,"Traditional",5,3,3,3,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,3,3,4,5,3,3,5,5,5,3,5,5,5,5,3,3,3,4
79,"AVI",2,1,4,2,4,5,4,5,5,5,5,5,5,2,5,2,1,1,1,1,2,2,1,4,1,4,2,2,4,5,5,2,5,4,2,2,5,1,5,3,3,1,5,2,1,5,2,5,5
79,"Traditional",4,4,5,4,5,2,2,1,2,4,5,5,5,5,5,5,5,5,4,4,4,4,4,5,4,5,5,5,5,5,5,5,5,5,5,2,4,3,5,3,5,5,5,5,5,2,5,3,4
80,"AVI",4,5,4,4,4,5,5,4,5,4,4,3,3,1,1,2,1,1,4,3,4,5,4,5,4,5,5,4,5,4,4,4,4,4,3,5,4,4,4,4,4,4,3,3,3,4,4,3,5
80,"Traditional",2,5,4,2,4,5,5,5,5,4,4,3,3,2,1,2,1,1,5,5,5,5,5,5,5,5,5,4,5,5,4,5,1,5,5,5,4,5,5,5,5,5,4,5,5,5,4,4,5
81,"AVI",2,1,3,1,2,1,2,1,5,3,3,3,4,1,1,2,2,1,2,4,2,4,2,3,2,4,4,3,2,2,2,2,4,2,2,4,2,2,2,2,2,2,2,1,2,4,4,4,1
81,"Traditional",2,2,4,2,4,2,2,2,5,4,5,4,4,5,5,5,4,2,4,4,NA,4,4,4,4,5,4,4,3,4,2,4,4,2,3,2,2,3,3,3,4,4,4,4,4,3,3,2,3
82,"AVI",4,4,4,4,4,5,5,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,3,5,5,5,5,5,5,5,5,5,5,2,4
82,"Traditional",5,5,5,4,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,5,5,5,5,3,5,5,4,4,4,2,5
83,"AVI",5,3,4,4,2,3,3,5,5,5,5,5,4,2,2,3,2,2,4,5,3,5,3,4,5,5,3,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5
83,"Traditional",4,5,4,3,4,3,3,5,4,4,5,5,4,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,4,3,5
84,"AVI",2,1,2,3,1,2,5,4,5,3,3,1,2,1,4,1,1,1,2,2,1,2,2,2,1,4,4,2,3,3,3,3,2,3,3,5,5,2,3,1,2,1,1,1,1,5,3,2,2
84,"Traditional",5,4,3,2,3,5,5,5,4,5,5,4,5,5,5,4,4,5,4,4,4,5,5,4,5,5,5,3,5,5,3,3,4,2,4,3,4,5,4,3,2,1,5,4,4,3,3,3,4
85,"AVI",5,3,5,3,5,4,5,3,2,4,5,5,4,3,2,4,5,4,5,1,2,5,2,1,2,2,3,5,4,4,3,3,3,2,4,4,4,3,3,5,5,3,5,4,3,5,2,3,4
85,"Traditional",4,4,5,3,4,4,4,4,4,5,5,5,4,4,NA,5,4,5,3,2,3,3,5,4,3,5,5,5,4,4,4,2,5,4,5,5,5,5,5,5,4,5,3,5,5,5,5,4,5
86,"AVI",4,2,4,2,4,4,4,4,2,4,4,3,3,2,4,4,2,2,1,2,2,2,2,2,2,2,3,3,4,2,3,4,2,4,4,4,4,1,2,3,3,2,2,2,2,2,4,3,3
86,"Traditional",4,3,5,2,3,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,4,5,4,5,5,5,5,4,5,4,3,3,3,5,5,4,5,4,4,5,5,5,4,3,5
87,"AVI",1,1,2,2,1,3,3,1,5,4,3,1,1,1,2,3,1,1,2,2,1,2,1,2,1,1,1,3,3,3,2,1,2,2,1,1,1,1,2,1,1,1,3,1,1,2,2,1,1
87,"Traditional",3,2,2,2,2,4,1,1,5,4,4,3,4,5,5,4,2,2,3,3,3,3,3,3,2,4,2,2,3,4,3,2,4,4,2,1,4,2,2,2,4,2,2,2,2,1,2,1,3
88,"AVI",1,1,4,1,4,4,4,4,5,5,5,1,2,1,2,5,1,1,2,2,1,4,1,2,1,5,4,1,3,2,1,2,3,1,1,5,3,1,1,1,1,1,1,1,1,4,2,2,1
88,"Traditional",4,3,5,4,5,3,3,3,4,3,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,3,2,3,1,3,3,4,3,4,5,4,1,4,1,5
89,"AVI",2,4,3,2,2,5,5,5,3,5,3,2,4,2,2,3,2,2,3,3,3,4,4,3,3,4,3,4,4,4,3,3,3,4,2,4,4,3,3,4,2,3,3,3,3,4,4,4,3
89,"Traditional",3,4,4,3,4,4,4,4,4,5,5,4,5,4,5,4,4,4,4,5,4,4,4,4,4,5,4,4,4,4,5,4,4,4,4,3,4,4,4,3,4,4,4,3,4,4,4,3,4
90,"AVI",2,3,4,3,4,4,5,5,3,5,4,2,4,1,1,1,1,1,3,4,3,4,4,4,2,4,4,4,3,3,3,3,3,3,3,5,3,2,3,3,2,2,2,2,3,4,4,4,2
90,"Traditional",4,4,5,4,4,3,3,2,4,5,5,4,4,5,5,5,4,3,4,5,5,4,5,5,4,5,4,5,4,4,5,4,5,4,5,4,4,4,4,3,4,3,3,4,4,4,4,4,3
91,"AVI",1,1,3,1,1,1,1,1,2,3,1,3,1,1,2,4,1,2,2,2,1,4,1,2,2,3,3,1,2,3,3,2,4,2,5,2,2,5,5,5,5,5,5,4,5,4,3,5,5
91,"Traditional",4,2,4,2,5,2,1,4,5,5,4,3,4,5,5,5,4,5,5,5,5,4,4,4,4,5,3,3,4,3,3,3,5,1,5,1,4,5,3,3,5,5,4,5,5,4,2,1,3
92,"AVI",5,4,5,1,1,5,5,5,5,5,5,5,5,1,1,5,1,1,4,4,2,4,2,4,2,4,3,2,3,3,3,4,3,5,3,4,4,2,3,3,5,3,3,2,2,3,3,4,5
92,"Traditional",5,5,5,4,5,4,2,4,5,5,5,5,5,5,5,1,4,4,5,5,5,5,5,5,5,5,5,3,5,5,4,5,4,5,5,2,5,5,5,5,5,2,5,5,5,3,4,2,5
93,"AVI",2,1,1,2,1,2,5,4,5,5,5,3,4,1,4,2,1,1,4,5,4,5,4,4,3,5,4,4,3,3,3,5,3,3,5,5,4,2,3,3,3,1,2,4,3,5,4,1,4
93,"Traditional",5,3,3,2,1,4,3,2,4,5,5,3,4,1,5,4,2,2,4,5,4,5,4,4,4,5,4,3,3,4,3,3,3,3,3,2,4,2,3,4,4,3,2,3,4,1,2,1,3
94,"AVI",4,4,4,4,3,4,5,3,3,4,5,5,4,2,4,4,2,2,5,NA,4,4,5,5,5,5,4,4,3,3,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4
94,"Traditional",4,4,4,1,1,3,3,2,2,5,5,5,5,5,5,5,4,5,4,4,4,5,4,4,4,5,2,4,3,3,3,3,4,4,3,2,4,5,3,3,2,4,4,4,4,2,1,2,3
95,"AVI",4,4,4,4,5,4,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,3,5,5,4,5,5,5,5,4,4,4,4,4,4,5,4,5,4,4,3,4,5
95,"Traditional",4,4,4,4,NA,NA,NA,3,3,NA,4,4,5,5,5,NA,4,NA,4,2,5,3,3,4,4,5,4,3,4,4,4,3,4,4,3,4,4,3,4,4,3,4,2,4,3,4,4,4,4
96,"AVI",2,2,2,1,1,5,5,4,3,4,3,3,2,1,1,1,1,1,2,4,2,3,3,4,2,4,3,2,3,4,2,4,4,4,3,4,4,3,3,4,2,2,2,2,3,5,3,3,3
96,"Traditional",4,4,4,2,4,5,4,2,4,5,5,5,5,4,4,5,3,2,4,5,5,5,5,5,5,5,5,4,5,5,5,4,4,4,5,3,4,4,4,4,4,3,3,3,4,4,4,5,4
