"A_procjust","A_interjust","A_orgjust","A_genatrct","A_intpurs","A_prest","A_orgatrct","A_compete","A_socresp","A_support","A_innovate","B_procjust","B_interjust","B_orgjust","B_genatrct","B_intpurs","B_prest","B_orgatrct","B_compete","B_socresp","B_support","B_innovate","id","sex","ethnicity","age","employ1"
3.67,4,3.84,4,3.6,3.6,3.73,3.75,3.25,3.75,3.5,4.22,4.22,4.22,4.8,5,4.8,4.87,3.5,4,4.25,3.75,73,"Male","White",20,"Employed part time"
3.67,2.56,3.12,3.2,3,3.4,3.2,3.5,3,2.25,4.25,3.89,4.78,4.34,4.6,4.8,3.8,4.4,3.25,3.75,4.25,4,74,"Female","Asian",23,"Unemployed not looking for work"
2.44,2.44,2.44,2.8,3.2,3.8,3.27,4.5,3.25,4,4.75,2.89,3.22,3.06,4.2,4,3.8,4,3.75,4,3.75,4,75,"Female","Asian",18,"Student"
4.11,5,4.56,2.6,3.6,4,3.4,4,3.75,2.5,4,2.78,4.78,3.78,3,3.4,3,3.13,3,3.75,4,3.5,76,"Prefer not to respond","Prefer not to respond",19,"Unemployed not looking for work"
4.11,3.67,3.89,4.8,4.8,4.8,4.8,4.5,4,4.5,3.75,3.33,4.44,3.89,4.8,4.8,4.8,4.8,4.25,3.5,3.75,3.5,77,"Male","White",20,"Student"
3,2.78,2.89,2.4,2.8,3.8,3,3,2.25,1.75,3.75,4.11,5,4.56,5,5,3.8,4.6,3.75,4.5,5,3.25,78,"Female","White",18,"Employed part time"
3.56,3.44,3.5,1.4,2.6,4.2,2.73,3.25,3,2.25,4.25,3.22,4.89,4.06,4,4.8,5,4.6,4,4,5,3.5,79,"Female","White",19,"Unemployed looking for work"
4.44,2.22,3.33,4,4.6,4.2,4.27,4,4,3.25,4,4.11,2.33,3.22,5,4.8,4,4.6,4.75,5,4.75,4.5,80,"Female","Asian",18,"Employed part time"
2,2.22,2.11,2.8,3.2,2.4,2.8,2.5,2,1.75,3.25,2.78,4.22,3.5,NA,4.2,3.4,NA,2.25,3.25,4,2.75,81,"Female","White",18,"Employed part time"
4.11,5,4.56,5,4.8,5,4.93,4.25,5,5,4,4.78,4.89,4.84,5,5,5,5,4.25,5,4.25,3.75,82,"Female","White",19,"Student"
3.78,3.33,3.55,4,4.2,4.8,4.33,5,5,5,4.75,3.89,4.67,4.28,4.8,5,5,4.93,4.75,4.75,5,4.25,83,"Male","White",19,"Student"
2.78,1.89,2.34,1.8,2.6,2.8,2.4,4,2,1,3,4,4.67,4.34,4.4,4.4,4,4.27,3.25,3.5,3.5,3.25,84,"Female","White",19,"Employed part time"
3.89,4,3.95,3,2.6,3.4,3,3.5,4,3.75,3.5,4,NA,NA,3.2,4.4,3.8,3.8,4.75,4.75,4.5,4.75,85,"Male","Prefer not to respond",18,"Student"
3.33,3.11,3.22,1.8,2.4,3,2.4,4,2.25,2,3,4,4.89,4.44,4.8,4.6,4.8,4.73,3.25,4.75,4.5,4.25,86,"Female","Asian",18,"Student"
2.11,1.89,2,1.6,1.6,2.2,1.8,1.25,1.25,1.5,1.5,2.44,3.67,3.05,3,2.6,3.2,2.93,2.75,2.5,2,1.75,87,"Female","White",19,"Student"
3.11,2.56,2.84,2,2.6,2.2,2.27,2.5,1,1,2.25,3.78,4.67,4.22,5,5,5,5,2.25,2.75,4,2.75,88,"Female","White",20,"Student"
3.44,2.78,3.11,3.4,3.4,3.4,3.4,3.5,3,3,3.75,3.78,4.44,4.11,4.2,4.2,4.2,4.2,3.75,3.75,3.75,3.75,89,"Male","White",18,"Student"
3.67,2.22,2.95,3.6,3.6,3,3.4,3.5,2.5,2.25,3.5,3.67,4.44,4.06,4.6,4.6,4.4,4.53,4.25,3.75,3.5,3.75,90,"Male","White",19,"Student"
1.33,2,1.67,2,2.2,2.8,2.33,2.75,5,4.75,4.25,3.22,4.44,3.83,4.6,3.8,3.6,4,2.75,4,4.75,2.5,91,"Female","White",19,"Employed part time"
4,3.22,3.61,3.2,3,3.2,3.13,4,3.25,2.5,3.75,4.33,4.33,4.33,5,4.6,4.6,4.73,4.25,5,4.25,3.5,92,"Female","White",22,"Employed part time"
2.56,2.89,2.72,4.4,4,3.4,3.93,4.25,2.75,2.5,3.5,3,3.44,3.22,4.4,4,3.2,3.87,3,3.25,3,1.75,93,"Female","Other",22,"Employed part time"
3.78,3.56,3.67,NA,4.6,3.4,NA,4,3.75,4,4,2.67,4.89,3.78,4.2,3.8,3.2,3.73,3.25,3.25,4,2,94,"Female","White",20,"Employed part time"
4.44,4.67,4.56,5,4.6,4.8,4.8,4.5,4,4.5,4,NA,NA,NA,3.4,4,3.8,3.73,3.75,3.5,3.25,4,95,"Female","White",18,"Employed part time"
2.78,1.89,2.34,2.8,3,3.4,3.07,3.75,3,2.25,3.5,3.67,4.22,3.94,4.8,4.8,4.6,4.73,4,4,3.25,4.25,96,"Female","White",19,"Unemployed not looking for work"
3.11,3.11,3.11,1.4,3,3.6,2.67,3.75,3,2,3,4.22,4.78,4.5,5,4.6,4.8,4.8,3.75,4.25,4.25,3.75,97,"Female","Asian",19,"Employed part time"
2.67,3.44,3.05,4,4.2,3.8,4,4.25,3.75,4,3.25,4.33,5,4.66,5,5,4.6,4.87,5,4.75,4.75,4,98,"Male","White",19,"Student"
3.33,2.78,3.05,4,4.2,4.6,4.27,5,4,5,3.75,3.22,4.56,3.89,3.8,NA,4,NA,3.75,4,3.25,3.5,99,"Female","Asian",18,"Student"
1.56,1.56,1.56,1,1.2,1.6,1.27,2,2,2,2.75,4.11,4.44,4.28,3.4,3.6,4,3.67,4.5,4.25,NA,4,100,"Male","White",19,"Employed part time"
3.67,3.44,3.55,3.8,4.2,3.6,3.87,4.5,4.5,4.25,4,3.78,4.22,4,3,3.4,3.6,3.33,3,3.5,4,3,101,"Female","White",19,"Unemployed looking for work"
3,3.11,3.05,4.6,4.6,4.6,4.6,4.75,4.5,4.25,4.25,4.11,5,4.56,5,5,5,5,4,4.5,4,4.25,102,"Female","White",19,"Student"
2.44,3.44,2.94,2.4,2.6,2.8,2.6,3.5,2.75,2.25,3.5,2.67,3.89,3.28,4,3.8,4.2,4,3.5,3.75,3.25,2.5,103,"Male","White",18,"Student"
3.67,3.56,3.62,4,4.2,4,4.07,3.5,2.75,3.25,2.75,3.11,3.33,3.22,5,5,5,5,2.75,2.75,2.75,3.75,104,"Female","Other",19,"Student"
2.67,2.67,2.67,NA,3.4,3.4,NA,NA,2.25,2.5,2.75,3.56,4.56,4.06,3.6,4.6,NA,NA,4.5,4.5,4.25,4.5,105,"Female","White",20,"Employed part time"
3.44,2.67,3.05,4.2,3.2,5,4.13,4.5,4.25,4.5,3.5,4,5,4.5,5,5,4.8,4.93,4.25,4.25,4,2.75,106,"Female","White",18,"Student"
3.11,2.89,3,4.8,4,3.8,4.2,4,3.75,2.75,4,3.67,4.11,3.89,5,4.8,4.6,4.8,3.75,3.5,3.75,2.75,107,"Female","White",20,"Employed part time"
3.11,2.44,2.78,1.8,2.8,2.4,2.33,2.75,2.25,2,3,3.89,4.67,4.28,4.4,4.4,4.2,4.33,4,4,3.75,2.75,108,"Female","White",18,"Student"
2.67,2,2.34,3,3,3.2,3.07,3.25,2.75,2,2.25,3.78,4.11,3.95,4.2,4.2,4,4.13,4.25,4,4.25,3.5,109,"Male","White",19,"Employed part time"
3,2.78,2.89,3.6,4.2,2.8,3.53,4.5,3.25,2.25,3.5,3.44,4.44,3.94,5,4.4,4.8,4.73,3,4.25,3.5,2.75,110,"Male","White",20,"Employed part time"
3.78,2.44,3.11,2,1.8,2.6,2.13,2.75,2.75,2.5,2.25,3.78,4.67,4.22,4.2,4.2,4,4.13,3.5,3.5,3.75,3.25,111,"Female","Asian",18,"Student"
4.33,2.33,3.33,4.4,4,3.8,4.07,4.25,3.25,1.75,5,3.78,4.44,4.11,4.6,4.6,4.4,4.53,4,3.25,3.25,4,112,"Female","Black or African American",21,"Employed part time"
3.22,2.67,2.95,4.4,3,3.2,3.53,1.75,1.75,2,4,4.33,4.78,4.56,4.8,4.8,4.6,4.73,4.5,4.75,4.5,3.75,113,"Female","Black or African American",20,"Student"
4.22,4.67,4.44,4.8,4.4,4.2,4.47,4,4,4.75,3.75,4.11,3.33,3.72,3.2,4,4.6,3.93,4.75,4.5,4,4,114,"Male","White",19,"Employed part time"
2.89,2.22,2.56,2.8,2.4,2.8,2.67,2.5,2.5,1.75,2.25,NA,4.78,NA,4.4,4.6,4.4,4.47,3.75,4.25,4,3.25,115,"Female","White",19,"Employed part time"
3.33,2.89,3.11,4.2,4,4,4.07,4.25,3.75,4.25,4.25,3.33,4.33,3.83,3.8,4.2,4,4,2.25,2.5,4,2.5,116,"Male","Asian",19,"Student"
3.78,3.33,3.55,4.8,5,4.2,4.67,4.5,4.25,2.75,4.25,3.44,4.89,4.16,5,5,5,5,4.25,5,5,3.5,117,"Female","White",19,"Student"
2.33,2,2.16,2.6,3,3.2,2.93,2.75,2.25,1.5,2.5,4,4.44,4.22,4,3.6,3.8,3.8,4,3.25,3,3.5,118,"Female","White",20,"Employed part time"
4,4,4,3.6,4,4,3.87,5,5,5,5,4,4.56,4.28,3.6,4,4,3.87,4.5,5,5,5,119,"Female","White",19,"Unemployed looking for work"
2.22,2.44,2.33,3.8,3.6,3.6,3.67,3.5,3,2,3.5,2.89,4.33,3.61,4,3.6,3.8,3.8,3,3.25,3,2.5,120,"Male","White",18,"Unemployed looking for work"
3.22,2.33,2.78,3.4,3.8,3.6,3.6,4,2.25,2,3.75,3.56,3.78,3.67,4.4,4.8,4.8,4.67,3.25,3.5,3.5,2.75,121,"Female","White",19,"Student"
1.44,2.22,1.83,2.6,1.6,2.4,2.2,1.5,1.5,1,1.5,2.11,3.67,2.89,3.8,3.4,3.4,3.53,3,3,3,3,122,"Female","White",19,"Unemployed not looking for work"
2.44,2.89,2.66,2.4,2.2,2.6,2.4,3.25,2.5,2.5,4,3.56,3.67,3.62,4.2,4.2,3.6,4,3.25,4.25,4,2.75,123,"Female","Asian",19,"Unemployed not looking for work"
3.89,2.56,3.22,3.2,2.8,3,3,4.5,3.5,3,4.5,3.78,3.89,3.84,4.2,4.4,4.2,4.27,3.5,3.5,3.25,3,124,"Female","Asian",23,"Unemployed not looking for work"
3.11,1.89,2.5,1.6,2,2.8,2.13,5,2.75,1.25,3.5,4.67,4.89,4.78,5,5,5,5,3.75,4.75,4.75,3,125,"Female","White",19,"Unemployed looking for work"
2.78,3.22,3,3.8,4,2.6,3.47,3.75,3.75,3.25,3,2.78,3.22,3,3,2.6,2.4,2.67,3.75,3.75,3.5,3.25,126,"Female","White",19,"Employed part time"
3.33,2.89,3.11,3.8,4.6,4.2,4.2,3.75,3.5,2.5,3.25,2.78,4.11,3.45,4.4,4.8,4.4,4.53,3.5,4.25,4.25,4,127,"Female","Asian",21,"Employed part time"
2.67,2.67,2.67,2.4,2.8,3.6,2.93,2.75,3,2.5,4,4,4.33,4.16,4.6,4.8,4.4,4.6,3.75,4,4,3.5,128,"Female","White",19,"Employed part time"
3.22,2.33,2.78,2.2,2.8,2.6,2.53,3.25,3,2.5,3.25,3.56,3.78,3.67,4.6,4.2,4.4,4.4,4,4.25,4.25,3.5,129,"Female","White",19,"Student"
3,3.22,3.11,2.8,2.8,2.8,2.8,3,2.25,2.25,3.75,3.78,4.11,3.95,4,3.8,3.6,3.8,3,3,3,2.75,130,"Female","Asian",18,"Student"
2.33,3.56,2.95,2.6,3.2,2.8,2.87,3,3,3,3,4,4,4,4,3.8,3.6,3.8,4,4,4,4,131,"Female","Asian",18,"Unemployed not looking for work"
3.33,3.11,3.22,4,4,3.8,3.93,3.75,4,4,3.75,2.78,3.89,3.34,4,4,3.6,3.87,3.75,4,4,3.75,132,"Female","White",20,"Employed part time"
2,2.67,2.34,4.2,4.2,4.6,4.33,2,2.75,1.5,4.5,3.56,4.67,4.12,5,5,4.2,4.73,4.25,4.25,4.25,3.75,133,"Male","Black or African American",21,"Employed full time"
2.67,2.89,2.78,3.6,3,4,3.53,3.75,2.75,2,4,3.67,3.89,3.78,4.2,NA,3.8,NA,3.75,3.75,3.75,2.5,134,"Female","White",19,"Unemployed looking for work"
2.56,1.67,2.12,3.6,3.6,3.4,3.53,2.5,2.25,1.5,2.25,3.89,4.89,4.39,4.6,4.8,4.4,4.6,3.75,4,4.75,5,135,"Female","Other",19,"Employed part time"
3.11,3.56,3.34,3.4,3.6,3,3.33,3.5,2.5,3.25,2.5,2.44,4.56,3.5,3.6,3.8,4,3.8,2.75,3.5,4,2.5,136,"Female","Other",18,"Employed part time"
2.89,2.44,2.66,3.2,3,3.8,3.33,4.25,3,2.5,4.25,3.78,5,4.39,4.2,4,3.8,4,3.5,4.5,4,2.5,137,"Female","White",20,"Employed part time"
2.22,2.89,2.56,3,2.2,2.2,2.47,3,3.5,3.25,3,2.89,3.44,3.16,3.8,3.2,3.4,3.47,4.5,4,3.75,4.75,138,"Male","White",19,"Employed part time"
2.67,1.22,1.94,3,2,2.8,2.6,3.25,5,5,3.75,2.33,4.22,3.28,3.2,3.4,3,3.2,3.5,4.75,5,3.5,139,"Female","White",19,"Employed part time"
2.67,2.78,2.72,3.4,2.2,3.6,3.07,4,3,2,4.25,2.33,4.11,3.22,3.8,3.8,3.2,3.6,3,4,3.25,3,140,"Female","White",19,"Employed part time"
2.78,2.11,2.44,5,4.8,5,4.93,5,5,4.75,5,4.56,5,4.78,4.8,5,5,4.93,4.75,5,4.75,4.75,141,"Female","White",19,"Student"
3.11,3,3.05,3.8,3.2,3.2,3.4,3,2.75,2,3.25,3.33,4.11,3.72,3.8,3.8,3.6,3.73,2.75,3.5,3.75,2.75,142,"Female","White",19,"Unemployed looking for work"
3.56,4.11,3.84,5,5,5,5,4.25,3.75,NA,3.5,3.44,4.89,4.16,5,5,4.6,4.87,3.25,3.75,4,3.5,143,"Female","White",20,"Student"
2.67,2.22,2.45,2.2,2.8,4.2,3.07,4.75,2.5,1,3.5,3.22,4.78,4,4.4,4.8,4,4.4,4.25,3.5,4.25,3,144,"Female","Prefer not to respond",18,"Employed part time"
1.22,3,2.11,3.4,2.8,2.6,2.93,3.75,4,4.75,4.75,2.44,2.89,2.66,3,3,3,3,5,3.25,4.25,5,145,"Male","White",20,"Employed part time"
