"A_procjust","A_interjust","A_orgjust","A_genatrct","A_intpurs","A_prest","A_orgatrct","A_compete","A_socresp","A_support","A_innovate","B_procjust","B_interjust","B_orgjust","B_genatrct","B_intpurs","B_prest","B_orgatrct","B_compete","B_socresp","B_support","B_innovate","id"
1.78,1,1.39,2.6,1.2,2.2,2,1.5,1.25,1,1.5,3.33,4.78,4.06,3.8,4.6,4.4,4.27,3,3.75,4.75,2.5,1
3.56,3,3.28,3.4,5,4.8,4.4,4,3.5,4,3.5,4.11,4.67,4.39,4.2,4.8,5,4.67,4.5,4.5,4.25,4,2
2.33,2.22,2.28,2.6,2,2.6,2.4,3.25,2.5,2.25,3.25,3.78,3.67,3.72,4,4.2,4,4.07,4,3.75,3.5,3.75,3
3.44,3.11,3.28,3.6,4.2,3.8,3.87,3.75,4,3.5,3.75,4.44,4.89,4.66,4.4,5,4.8,4.73,4.25,4.75,4.5,4.25,4
4,2.78,3.39,3.2,3.8,3.8,3.6,3,3,2.5,3.75,3.11,3.33,3.22,3.2,3.6,3,3.27,3,3,2.5,2.75,5
3,1.33,2.16,3,1.8,2,2.27,3,2.75,2.5,3,3.89,4.78,4.34,4.2,5,3.8,4.33,4.5,4,4.75,4.25,6
3.44,2.67,3.05,2.6,3.4,3,3,4.25,4.75,4,5,3.78,4.56,4.17,4,4.6,5,4.53,4.75,4.5,4,4.5,7
3.33,3.33,3.33,3.6,4.6,4.4,4.2,3.75,3.75,3.75,3.5,4.11,4.89,4.5,4.2,5,4.6,4.6,4.75,4.5,4.75,4.5,8
4.44,4,4.22,3.4,4.2,4,3.87,3.75,3.75,3,3.75,4,4.78,4.39,3.8,4.4,4.2,4.13,3,3.25,3.25,3,9
2.67,2.22,2.45,3.2,2.8,2.8,2.93,3,3,2.75,3.5,3.56,4.33,3.95,4,4,3.6,3.87,3.5,3.25,3.25,3,10
2.78,2.56,2.67,3.2,2.8,2.8,2.93,3.25,2.5,2,3.25,2.44,4.67,3.55,4.2,4.2,3.6,4,2.75,3,3,2.75,11
3.11,2,2.55,3.6,4.6,4.4,4.2,4.5,3.75,3.5,4,4.22,4.78,4.5,4.2,4.8,4.8,4.6,4.75,4.5,4.25,4.5,12
4.44,3.89,4.16,3.4,5,NA,NA,5,4.25,4.5,5,3.67,4,3.84,4.2,4.8,4.8,4.6,5,3.5,3.25,4,13
3.56,2.89,3.22,3.6,4.2,4.4,4.07,4,2.75,2.25,4.5,2.44,3.33,2.88,2.8,3.2,3.4,3.13,3,2.25,2,3.75,14
3.67,4.11,3.89,3.4,4.6,4,4,5,4.75,5,5,4.11,4.89,4.5,4.2,5,3.8,4.33,4.75,5,4.75,4.75,15
3.67,3.44,3.55,3.2,4.2,4.8,4.07,4.75,4.25,3.25,3.75,3,2.89,2.95,3.6,2.8,2.8,3.07,3.25,3,3.25,3.75,16
4.22,4.44,4.33,3.2,4.8,4.6,4.2,4.75,3.75,4.25,4.5,4.78,5,4.89,4.2,5,4.8,4.67,4.75,3.75,3.75,4.25,17
3.11,2.22,2.66,2.8,2.2,2.2,2.4,2.75,2,1.25,2.75,3.22,4.67,3.95,3,3.4,3,3.13,2.5,2.75,3.25,2.75,18
3.11,2.11,2.61,3,2.6,4,3.2,4,3.5,3,4.5,2.56,4.11,3.34,3.6,4,3.8,3.8,4,4.5,3.75,3.75,19
2.89,2.33,2.61,2.8,2.6,2.8,2.73,2.5,2.5,2,2.5,2.44,3.67,3.05,3.6,4,3.8,3.8,3.75,4,3.5,3.25,20
2.11,1.33,1.72,2.4,1.2,2.6,2.07,3.5,2.5,NA,2.25,3.44,4.44,3.94,3.4,4.4,4.6,4.13,4,4.25,2.75,NA,21
3.22,NA,NA,3.6,4.2,3.6,3.8,4.75,4.25,3.25,3,3.89,4,3.95,4,3.8,3.8,3.87,3.5,3.5,3.75,3,22
2.78,1.78,2.28,2.8,2.2,1.8,2.27,2,NA,1,3,3.56,2.89,3.22,2.2,2,2,2.07,1,1.5,1,1,23
3.11,2.67,2.89,3.4,4.8,5,4.4,4,4,3.75,3.75,4.22,5,4.61,4.2,4.8,5,4.67,4.25,4,4.75,4.25,24
2.56,1.44,2,3,4.4,3.4,3.6,4.25,4,5,4.5,3.44,3.78,3.61,3.4,3.4,3.6,3.47,4.25,4,4.5,4.25,25
3.89,3.11,3.5,3.6,4,4.2,3.93,4,4.25,3.75,4,3.56,4.22,3.89,4.2,4.6,4.4,4.4,3.25,4.75,4.5,4,26
2.78,2.67,2.72,3.4,4.8,4.8,4.33,4.75,4,4,3.25,4.67,4.89,4.78,4.2,5,4.8,4.67,4.75,4.25,4,4.5,27
2.89,2.78,2.84,2.4,3,3,2.8,2.75,2.25,2.25,2.75,2.67,3.89,3.28,4.2,4.6,4.2,4.33,3.75,3.75,3,5,28
4.44,3.33,3.89,3.4,4.6,3.8,3.93,4,4,3.75,4,3,4.33,3.66,4.2,4.2,4.2,4.2,2.75,4.5,4.25,3,29
2.44,2.33,2.38,2.8,2.6,2.2,2.53,1.5,2,1.75,2,3.67,4.44,4.06,3.4,3.8,3.8,3.67,3.75,3.75,4,2.75,30
3.67,4.67,4.17,3.6,4.6,3.6,3.93,3.5,4.25,4,3.5,3.22,4.56,3.89,4.2,4.8,4.2,4.4,4.25,4,3.5,3,31
2.56,2.89,2.72,3.4,1.6,2,2.33,2,2.75,1.25,2.5,2,4.33,3.16,3.6,3.6,3.2,3.47,2.5,3.5,3.5,2,32
2.78,3,2.89,3.4,3.6,3.8,3.6,2.75,2.75,2.25,4,4.11,4.89,4.5,4.2,4.8,4.4,4.47,2.75,2.75,3,2,33
3.44,2.89,3.16,3.4,3.4,4.4,3.73,4.75,3.5,2.25,4,2.56,3.11,2.84,3.6,3.2,2.8,3.2,3.25,2.25,2.25,2.5,34
3.22,3.33,3.28,3.6,3.4,3.2,3.4,3.75,3,3,3.75,3.44,4.22,3.83,4.2,4.2,4.6,4.33,3.25,NA,2.5,3.25,35
3.56,3,3.28,3.2,4,3.6,3.6,3.25,3,3,3.5,4.11,4.56,4.34,4.2,4.2,4.6,4.33,4.75,4,3.5,4.75,36
4.33,3.22,3.78,3.2,4.6,3.6,3.8,4.5,3.5,2.25,3,3.56,3.56,3.56,3.6,3.4,3.8,3.6,4.25,4.5,3.75,3.25,37
2.44,2.11,2.28,3,3.4,2.2,2.87,3.25,NA,2.25,2.5,3,3.89,3.45,3.6,4.2,4.2,4,3.5,3.25,3,3,38
2.89,3.33,3.11,3.4,4.8,5,4.4,4.5,5,4.25,4.25,4.22,4.22,4.22,5,4.4,4.6,4.67,3.5,3.75,4,2.75,39
2.44,1.67,2.05,3,2.2,3,2.73,3.25,2,2.5,4.25,3.33,2.78,3.05,2.6,3,3.6,3.07,3.75,2.75,3,2.75,40
3.89,3.67,3.78,3.2,4.6,4.2,4,4.25,4.25,3,4,2.89,4.44,3.66,4.2,4.6,4,4.27,3,4.25,3.75,3,41
2.22,2,2.11,2.4,2.2,2,2.2,1.75,2,1.75,2.25,4.67,4.44,4.56,4.2,4.8,4.8,4.6,4,4,4.75,4,42
3.22,2.56,2.89,3,2.8,2.6,2.8,2,2.5,2,2.25,3.56,4.78,4.17,4,4.4,4.4,4.27,3.5,3.5,3.75,3.25,43
3.67,2.78,3.22,3.4,4.8,5,4.4,4.5,5,4.5,3.75,4.44,5,4.72,4.2,5,4.8,4.67,NA,4.75,5,4.5,44
3,2.33,2.66,2.6,3,3.6,3.07,3,2.25,2,3.5,2.89,4.33,3.61,4.2,4.6,4.2,4.33,3,4,3.75,3.25,45
3.89,3.22,3.56,3.4,4.6,4.6,4.2,4.75,3.5,3.5,4,3.56,4.22,3.89,4.2,4.6,4.8,4.53,4.25,3.25,4.5,4.25,46
3.33,2.56,2.95,3,3.6,3.4,3.33,3,2.25,2.5,3,2.67,2.89,2.78,2.4,3.2,2.8,2.8,3.5,2,2,2.5,47
3.56,2.33,2.95,2.8,3.2,3.4,3.13,3.25,3,2.75,3.75,3.44,4.22,3.83,4,4.8,4.4,4.4,4,4.5,4,3.75,48
2.22,1.33,1.78,2.2,1.8,3.2,2.4,3,2.75,2.5,4.25,4.22,4.78,4.5,4.2,4.8,4.6,4.53,4.25,4,3.75,2.75,49
1.67,1.33,1.5,2.2,1.4,1.6,1.73,2,1,1,2.25,3.11,4.78,3.95,3.6,4.2,3.4,3.73,1.75,2.75,3.25,1.75,50
3.11,2.11,2.61,2.8,3.2,2.6,2.87,3,2.5,1.5,2.75,3.22,3.56,3.39,3.6,4.2,3.8,3.87,3.25,3.75,3.75,3,51
1.33,2.22,1.78,3.2,1,2.8,2.33,4.75,3.5,2.25,3.25,4.89,5,4.94,4.2,5,4.6,4.6,4.75,5,4.75,4.5,52
3.44,2.44,2.94,3,4.2,3.6,3.6,3.5,3.5,3,4.25,2.44,3.56,3,3.2,3.6,3.2,3.33,3.5,3.25,2.5,3.25,53
3.22,2.56,2.89,3.4,4.2,4,3.87,3.25,3.75,3.75,4,4.11,4.78,4.44,4.4,4.8,5,4.73,3.75,4.25,3.75,4.25,54
3.56,3.67,3.62,3,3.4,3.2,3.2,3,3,3,2.25,3.22,4.22,3.72,3.2,3,3.4,3.2,3,3,3.5,3,55
4.33,4,4.16,3.2,3.6,4,3.6,5,4,3.5,5,4.22,5,4.61,4.2,5,4.6,4.6,5,4.75,5,4.75,56
4.11,4.22,4.16,3.6,4,4,3.87,4.75,5,4.75,4.75,4.11,4.89,4.5,4.4,4.6,4.4,4.47,4.5,4.75,4.5,4.5,57
2.89,2.44,2.66,3.2,2.8,4.4,3.47,3,2.75,1.5,3,3,3.56,3.28,3.6,3.2,3.6,3.47,3.5,3.25,3.25,3.25,58
4,2.67,3.34,3.2,4,3.8,3.67,4.25,3.5,2.5,3.75,3.22,4.22,3.72,3.4,4.2,3.4,3.67,2.5,4.25,3.75,2.25,59
2.78,3.22,3,3.2,3.6,3.4,3.4,3,3.5,3.25,2.75,3.56,4,3.78,3.6,3.4,3,3.33,3,4.25,3.5,3,60
4,4.33,4.16,3.4,3.8,3.8,3.67,3.5,3.75,4.25,3,3.89,4.22,4.06,4,4,3.8,3.93,3.5,3.75,4,3,61
3.11,2.11,2.61,2.8,2.2,2.4,2.47,2.75,3.25,2.5,3,3.67,4.56,4.12,3.8,3.6,4,3.8,3.5,4,3.75,2.75,62
3.11,2.56,2.84,3.2,3.2,3.2,3.2,3.5,3,3,4.25,2.44,2.67,2.55,2.8,2.8,2.4,2.67,3.25,2.5,2.25,2.5,63
3.67,2.89,3.28,3.4,4.4,4.4,4.07,4.25,3.25,2.75,4.25,3.56,4.56,4.06,4.2,4.4,4.4,4.33,3.25,3.75,4,3.25,64
3.67,4,3.84,3.6,3.6,3.6,3.6,3.75,3.25,3.75,3.5,4.22,4.22,4.22,4.4,5,4.8,4.73,3.5,4,4.25,3.75,65
3.67,2.56,3.12,3.2,3,3.4,3.2,3.5,3,2.25,4.25,3.89,4.78,4.34,3.8,4.8,3.8,4.13,3.25,3.75,4.25,4,66
2.44,2.44,2.44,3.2,3.2,3.8,3.4,4.5,3.25,4,4.75,2.89,3.22,3.06,3.4,4,3.8,3.73,3.75,4,3.75,4,67
4.11,5,4.56,3,3.6,4,3.53,4,3.75,2.5,4,2.78,4.78,3.78,3,3.4,3,3.13,3,3.75,4,3.5,68
4.11,3.67,3.89,3.2,4.8,4.8,4.27,4.5,4,4.5,3.75,3.33,4.44,3.89,4,4.8,4.8,4.53,4.25,3.5,3.75,3.5,69
3,2.78,2.89,3.2,2.8,3.8,3.27,3,2.25,1.75,3.75,4.11,5,4.56,4.2,5,3.8,4.33,3.75,4.5,5,3.25,70
3.56,3.44,3.5,3,2.6,4.2,3.27,3.25,3,2.25,4.25,3.22,4.89,4.06,3.6,4.8,5,4.47,4,4,5,3.5,71
4.44,2.22,3.33,3.6,4.6,4.2,4.13,4,4,3.25,4,4.11,2.33,3.22,4.2,4.8,4,4.33,4.75,5,4.75,4.5,72
2,2.22,2.11,2.8,3.2,2.4,2.8,2.5,2,1.75,3.25,2.78,4.22,3.5,NA,4.2,3.4,NA,2.25,3.25,4,2.75,73
2.78,1.89,2.34,2.6,2.6,2.8,2.67,4,2,1,3,4,4.67,4.34,4,4.4,4,4.13,3.25,3.5,3.5,3.25,74
3.89,4,3.95,3,2.6,3.4,3,3.5,4,3.75,3.5,4,NA,NA,3.6,4.4,3.8,3.93,4.75,4.75,4.5,4.75,75
3.33,3.11,3.22,3,2.4,3,2.8,4,2.25,2,3,4,4.89,4.44,4,4.6,4.8,4.47,3.25,4.75,4.5,4.25,76
2.11,1.89,2,2.4,1.6,2.2,2.07,1.25,1.25,1.5,1.5,2.44,3.67,3.05,3,2.6,3.2,2.93,2.75,2.5,2,1.75,77
3.11,2.56,2.84,2.8,2.6,2.2,2.53,2.5,1,1,2.25,3.78,4.67,4.22,4.2,5,5,4.73,2.25,2.75,4,2.75,78
3.44,2.78,3.11,3.4,3.4,3.4,3.4,3.5,3,3,3.75,3.78,4.44,4.11,3.4,4.2,4.2,3.93,3.75,3.75,3.75,3.75,79
3.67,2.22,2.95,3.2,3.6,3,3.27,3.5,2.5,2.25,3.5,3.67,4.44,4.06,3.8,4.6,4.4,4.27,4.25,3.75,3.5,3.75,80
1.33,2,1.67,2.8,2.2,2.8,2.6,2.75,5,4.75,4.25,3.22,4.44,3.83,3.8,3.8,3.6,3.73,2.75,4,4.75,2.5,81
4,3.22,3.61,2.4,3,3.2,2.87,4,3.25,2.5,3.75,4.33,4.33,4.33,4.2,4.6,4.6,4.47,4.25,5,4.25,3.5,82
2.56,2.89,2.72,3.2,4,3.4,3.53,4.25,2.75,2.5,3.5,3,3.44,3.22,3.6,4,3.2,3.6,3,3.25,3,1.75,83
3.78,3.56,3.67,NA,4.6,3.4,NA,4,3.75,4,4,2.67,4.89,3.78,3.8,3.8,3.2,3.6,3.25,3.25,4,2,84
4.44,4.67,4.56,3.4,4.6,4.8,4.27,4.5,4,4.5,4,NA,NA,NA,3.8,4,3.8,3.87,3.75,3.5,3.25,4,85
2.78,1.89,2.34,2.8,3,3.4,3.07,3.75,3,2.25,3.5,3.67,4.22,3.94,4,4.8,4.6,4.47,4,4,3.25,4.25,86
3.11,3.11,3.11,2.2,3,3.6,2.93,3.75,3,2,3,4.22,4.78,4.5,4.2,4.6,4.8,4.53,3.75,4.25,4.25,3.75,87
2.67,3.44,3.05,3.2,4.2,3.8,3.73,4.25,3.75,4,3.25,4.33,5,4.66,4.2,5,4.6,4.6,5,4.75,4.75,4,88
3.33,2.78,3.05,2.8,4.2,4.6,3.87,5,4,5,3.75,3.22,4.56,3.89,3.4,NA,4,NA,3.75,4,3.25,3.5,89
1.56,1.56,1.56,2.6,1.2,1.6,1.8,2,2,2,2.75,4.11,4.44,4.28,3.4,3.6,4,3.67,4.5,4.25,NA,4,90
3.67,3.44,3.55,3,4.2,3.6,3.6,4.5,4.5,4.25,4,3.78,4.22,4,2.6,3.4,3.6,3.2,3,3.5,4,3,91
3,3.11,3.05,3,4.6,4.6,4.07,4.75,4.5,4.25,4.25,4.11,5,4.56,4.2,5,5,4.73,4,4.5,4,4.25,92
2.44,3.44,2.94,3.2,2.6,2.8,2.87,3.5,2.75,2.25,3.5,2.67,3.89,3.28,3.6,3.8,4.2,3.87,3.5,3.75,3.25,2.5,93
3.67,3.56,3.62,3.2,4.2,4,3.8,3.5,2.75,3.25,2.75,3.11,3.33,3.22,4.2,5,5,4.73,2.75,2.75,2.75,3.75,94
2.67,2.67,2.67,NA,3.4,3.4,NA,NA,2.25,2.5,2.75,3.56,4.56,4.06,4.4,4.6,NA,NA,4.5,4.5,4.25,4.5,95
3.44,2.67,3.05,2.6,3.2,5,3.6,4.5,4.25,4.5,3.5,4,5,4.5,4.2,5,4.8,4.67,4.25,4.25,4,2.75,96
3.11,2.89,3,3.6,4,3.8,3.8,4,3.75,2.75,4,3.67,4.11,3.89,4.2,4.8,4.6,4.53,3.75,3.5,3.75,2.75,97
3.11,2.44,2.78,2.6,2.8,2.4,2.6,2.75,2.25,2,3,3.89,4.67,4.28,3.6,4.4,4.2,4.07,4,4,3.75,2.75,98
2.67,2,2.34,3,3,3.2,3.07,3.25,2.75,2,2.25,3.78,4.11,3.95,3.4,4.2,4,3.87,4.25,4,4.25,3.5,99
3,2.78,2.89,3.6,4.2,2.8,3.53,4.5,3.25,2.25,3.5,3.44,4.44,3.94,4.2,4.4,4.8,4.47,3,4.25,3.5,2.75,100
3.78,2.44,3.11,3.2,1.8,2.6,2.53,2.75,2.75,2.5,2.25,3.78,4.67,4.22,3.8,4.2,4,4,3.5,3.5,3.75,3.25,101
4.33,2.33,3.33,3.6,4,3.8,3.8,4.25,3.25,1.75,5,3.78,4.44,4.11,3.8,4.6,4.4,4.27,4,3.25,3.25,4,102
3.22,2.67,2.95,3.6,3,3.2,3.27,1.75,1.75,2,4,4.33,4.78,4.56,4.4,4.8,4.6,4.6,4.5,4.75,4.5,3.75,103
4.22,4.67,4.44,3.2,4.4,4.2,3.93,4,4,4.75,3.75,4.11,3.33,3.72,2.8,4,4.6,3.8,4.75,4.5,4,4,104
2.89,2.22,2.56,2.8,2.4,2.8,2.67,2.5,2.5,1.75,2.25,NA,4.78,NA,3.6,4.6,4.4,4.2,3.75,4.25,4,3.25,105
3.33,2.89,3.11,3,4,4,3.67,4.25,3.75,4.25,4.25,3.33,4.33,3.83,3.4,4.2,4,3.87,2.25,2.5,4,2.5,106
3.78,3.33,3.55,3.6,5,4.2,4.27,4.5,4.25,2.75,4.25,3.44,4.89,4.16,4.2,5,5,4.73,4.25,5,5,3.5,107
2.33,2,2.16,3,3,3.2,3.07,2.75,2.25,1.5,2.5,4,4.44,4.22,3.6,3.6,3.8,3.67,4,3.25,3,3.5,108
2.22,2.44,2.33,2.6,3.6,3.6,3.27,3.5,3,2,3.5,2.89,4.33,3.61,3.2,3.6,3.8,3.53,3,3.25,3,2.5,109
3.22,2.33,2.78,2.6,3.8,3.6,3.33,4,2.25,2,3.75,3.56,3.78,3.67,4.4,4.8,4.8,4.67,3.25,3.5,3.5,2.75,110
2.44,2.89,2.66,3.2,2.2,2.6,2.67,3.25,2.5,2.5,4,3.56,3.67,3.62,3.8,4.2,3.6,3.87,3.25,4.25,4,2.75,111
3.89,2.56,3.22,3.6,2.8,3,3.13,4.5,3.5,3,4.5,3.78,3.89,3.84,3.8,4.4,4.2,4.13,3.5,3.5,3.25,3,112
3.11,1.89,2.5,2.8,2,2.8,2.53,5,2.75,1.25,3.5,4.67,4.89,4.78,4.2,5,5,4.73,3.75,4.75,4.75,3,113
2.78,3.22,3,3.4,4,2.6,3.33,3.75,3.75,3.25,3,2.78,3.22,3,3,2.6,2.4,2.67,3.75,3.75,3.5,3.25,114
3.33,2.89,3.11,3.8,4.6,4.2,4.2,3.75,3.5,2.5,3.25,2.78,4.11,3.45,4,4.8,4.4,4.4,3.5,4.25,4.25,4,115
2.67,2.67,2.67,2.4,2.8,3.6,2.93,2.75,3,2.5,4,4,4.33,4.16,3.8,4.8,4.4,4.33,3.75,4,4,3.5,116
3.22,2.33,2.78,2.6,2.8,2.6,2.67,3.25,3,2.5,3.25,3.56,3.78,3.67,3.8,4.2,4.4,4.13,4,4.25,4.25,3.5,117
3,3.22,3.11,3.6,2.8,2.8,3.07,3,2.25,2.25,3.75,3.78,4.11,3.95,3.6,3.8,3.6,3.67,3,3,3,2.75,118
3.33,3.11,3.22,3.2,4,3.8,3.67,3.75,4,4,3.75,2.78,3.89,3.34,3.6,4,3.6,3.73,3.75,4,4,3.75,119
2,2.67,2.34,3.4,4.2,4.6,4.07,2,2.75,1.5,4.5,3.56,4.67,4.12,4.2,5,4.2,4.47,4.25,4.25,4.25,3.75,120
2.67,2.89,2.78,2.8,3,4,3.27,3.75,2.75,2,4,3.67,3.89,3.78,3.4,NA,3.8,NA,3.75,3.75,3.75,2.5,121
2.56,1.67,2.12,3.2,3.6,3.4,3.4,2.5,2.25,1.5,2.25,3.89,4.89,4.39,3.8,4.8,4.4,4.33,3.75,4,4.75,5,122
3.11,3.56,3.34,3,3.6,3,3.2,3.5,2.5,3.25,2.5,2.44,4.56,3.5,3.2,3.8,4,3.67,2.75,3.5,4,2.5,123
2.89,2.44,2.66,2.8,3,3.8,3.2,4.25,3,2.5,4.25,3.78,5,4.39,3.4,4,3.8,3.73,3.5,4.5,4,2.5,124
2.22,2.89,2.56,3.4,2.2,2.2,2.6,3,3.5,3.25,3,2.89,3.44,3.16,3.4,3.2,3.4,3.33,4.5,4,3.75,4.75,125
